,log2,mRNA_RSEM,mRNA_Diploid,mRNA_Normal,mRNA_all
7271,-0.012,2243.72,-0.7332,-1.2903,-0.6116
7272,0.005,1971.23,-1.1353,-1.7572,-1.0882
7273,-0.002,2499.4,-0.356,-0.9012,-0.2142
7274,0.002,1992.49,-1.104,-1.7185,-1.0487
7275,0.019,2101.64,-0.9429,-1.5262,-0.8524
7276,0.0,2207.11,-0.7873,-1.3496,-0.6721
7277,0.007,3353.64,0.9045,0.1589,0.8682
7278,0.011,2426.91,-0.4629,-1.0073,-0.3226
7279,0.008,2168.71,-0.8439,-1.4129,-0.7367
7280,0.0,2668.22,-0.1069,-0.6655,0.0264
7281,-0.052,1757.94,-1.4501,-2.17,-1.5098
7282,0.006,1544.11,-1.7656,-2.6376,-1.9872
7283,0.02,2408.38,-0.4903,-1.035,-0.3508
7284,0.001,2192.98,-0.8081,-1.3728,-0.6958
7285,0.005,2980.2,0.3535,-0.2668,0.4335
7286,0.004,1385.08,-2.0003,-3.0294,-2.3872
7287,0.06,1205.22,-2.2657,-3.5307,-2.8991
7288,-0.01,4243.26,2.2173,1.0074,1.7346
7289,0.0,3527.78,1.1615,0.3415,1.0546
7290,0.012,3068.99,0.4845,-0.1609,0.5416
7291,-0.002,4385.22,2.4267,1.1261,1.8558
7292,0.0,2436.21,-0.4492,-0.9935,-0.3085
7293,0.001,1957.18,-1.1561,-1.7829,-1.1146
7294,-0.057,1698.81,-1.5373,-2.2934,-1.6357
7295,0.229,3776.64,1.5287,0.5873,1.3056
7296,0.166,2984.6,0.36,-0.2615,0.439
7297,-0.15,2279.94,-0.6798,-1.2326,-0.5526
7298,0.006,2856.6,0.1711,-0.4195,0.2776
7299,0.001,3426.11,1.0115,0.236,0.9469
7300,-0.007,3457.07,1.0572,0.2685,0.9801
7301,-0.016,4153.52,2.0848,0.9303,1.6559
7302,-0.015,2022.83,-1.0592,-1.664,-0.9931
7303,0.103,3152.17,0.6073,-0.0645,0.6401
7304,0.0,2284.32,-0.6733,-1.2257,-0.5455
7305,-0.001,3258.6,0.7643,0.0552,0.7624
7306,-0.044,982.301,-2.5946,-4.2678,-3.6517
7307,-0.012,2466.67,-0.4043,-0.9487,-0.2628
7308,0.005,3258.15,0.7636,0.0547,0.7619
7309,0.005,3244.14,0.743,0.0392,0.746
7310,0.005,2780.31,0.0585,-0.5172,0.1779
7311,0.08,2807.19,0.0982,-0.4825,0.2133
7312,0.0,2859.71,0.1757,-0.4156,0.2816
7313,0.0,3136.59,0.5843,-0.0824,0.6219
7314,-0.03610000000000001,953.839,-2.6366,-4.3737,-3.7599
7315,0.002,2973.39,0.3434,-0.275,0.4251
7316,0.002,2453.65,-0.4235,-0.9678,-0.2823
7317,0.002,2930.19,0.2797,-0.3278,0.3712
7318,0.0,2546.02,-0.2872,-0.8346,-0.1462
7319,-0.01,3008.19,0.3948,-0.2331,0.468
7320,0.037,3961.49,1.8015,0.7596,1.4816
7321,0.005,3489.5,1.105,0.3021,1.0144
7322,0.008,3880.54,1.682,0.6852,1.4055
7323,0.005,3287.05,0.8063,0.0866,0.7944
7324,0.002,3730.84,1.4611,0.5433,1.2607
7325,0.0,3421.07,1.004,0.2307,0.9415
7326,0.203,2101.53,-0.9431,-1.5264,-0.8526
7327,-0.006,2063.7,-0.9989,-1.5919,-0.9195
7328,-0.001,3159.21,0.6176,-0.0565,0.6483
7329,0.001,2466.77,-0.4041,-0.9486,-0.2626
7330,0.031,3427.65,1.0138,0.2376,0.9486
7331,0.009,1670.24,-1.5795,-2.3545,-1.6982
7332,-0.005,3381.15,0.9451,0.1884,0.8983
7333,0.002,2362.41,-0.5581,-1.1045,-0.4218
7334,0.001,3537.88,1.1764,0.3518,1.0651
7335,-0.004,3229.77,0.7218,0.0232,0.7296
7336,0.808,3882.64,1.6851,0.6871,1.4075
7337,0.0,2522.81,-0.3214,-0.8676,-0.1799
7338,0.0,1579.3,-1.7137,-2.5563,-1.9042
7339,0.0,2438.87,-0.4453,-0.9896,-0.3045
7340,0.005,3119.58,0.5592,-0.102,0.6018
7341,-0.003,2195.71,-0.8041,-1.3683,-0.6912
7342,-0.003,2729.3,-0.0167,-0.5839,0.1097
7343,0.002,2843.32,0.1515,-0.4363,0.2604
7344,0.008,1687.46,-1.5541,-2.3175,-1.6604
7345,-0.007,2056.27,-1.0098,-1.6049,-0.9327
7346,-0.002,2842.11,0.1497,-0.4379,0.2588
7347,0.0,3858.4,1.6494,0.6645,1.3845
7348,-0.076,1984.87,-1.1152,-1.7323,-1.0628
7349,0.0,2332.59,-0.6021,-1.1503,-0.4685
7350,0.013,2597.35,-0.2114,-0.7626,-0.0727
7351,0.0,1798.22,-1.3906,-2.0883,-1.4264
7352,0.002,1756.06,-1.4528,-2.1739,-1.5137
7353,-0.004,3343.26,0.8892,0.1477,0.8568
7354,-0.022,2265.47,-0.7012,-1.2555,-0.576
7355,0.002,2638.64,-0.1505,-0.7057,-0.0147
7356,-0.002,3032.85,0.4312,-0.2037,0.498
7357,0.0,2703.77,-0.0544,-0.6178,0.0751
7358,0.001,2679.62,-0.09,-0.6502,0.0421
7359,0.004,2240.67,-0.7377,-1.2952,-0.6166
7360,0.008,2074.02,-0.9837,-1.5739,-0.9011
7361,-0.007,2211.84,-0.7803,-1.3419,-0.6642
7362,0.011,2412.92,-0.4836,-1.0282,-0.3439
7363,-0.01,2238.04,-0.7416,-1.2995,-0.6209
7364,0.002,2662.26,-0.1157,-0.6736,0.0182
7365,0.0,2633.02,-0.1588,-0.7134,-0.0225
7366,0.0,3225.49,0.7154,0.0184,0.7248
7367,-0.179,1998.4482,-0.0973,-1.4901,0.0878
7368,-0.099,1626.87,-0.5879,-2.4385,-0.4298
7369,0.033,1699.2805,-0.4923,-2.2378,-0.3202
7370,-0.009,3126.1817,1.3915,0.573,1.2137
7371,-0.001,2527.2883,0.6009,-0.4076,0.6785
7372,0.004,3489.2775,1.8709,1.0797,1.4902
7373,-0.003,1963.22,-0.1438,-1.5721,0.043
7374,0.01,1575.93,-0.6551,-2.5852,-0.5098
7375,0.336,2808.67,0.9723,0.0791,0.9442
7376,0.092,2261.4998,0.25,-0.92,0.3989
7377,0.371,3319.2692,1.6464,0.8494,1.3645
7378,-0.41,1701.2,-0.4898,-2.2326,-0.3174
7379,0.0,2480.6,0.5392,-0.4936,0.6316
7380,0.002,1117.86,-1.2599,-4.1682,-1.3737
7381,-0.012,542.446,-2.0195,-7.4993,-3.1916
7382,0.037,709.629,-1.7988,-6.262,-2.5164
7383,0.038,1775.03,-0.3923,-2.0367,-0.2105
7384,0.238,1938.0,-0.1771,-1.6318,0.0105
7385,0.493,3404.72,1.7592,0.9666,1.4285
7386,-0.34,2635.24,0.7434,-0.2148,0.7838
7387,-0.008,2494.12,0.5571,-0.4686,0.6453
7388,0.065,1650.07,-0.5573,-2.3733,-0.3942
7389,0.836,2822.86,2.7526,2.7086,1.5772
7390,0.027,1744.36,0.6353,0.764,0.4904
7391,0.157,832.74,-1.1543,-2.222,-1.1784
7392,0.011,1066.89,-0.6946,-1.2216,-0.6193
